NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,"Dua suku berikutnya dari barisan bilangan $5, 10, 16, 23, \dots$ adalah ...","$31, 40$","$30, 38$","$31, 39$","$32, 41$",A,60,
2,"Rumus suku ke-$n$ dari barisan $2, 6, 12, 20, \dots$ adalah ...",$n(n+2)$,$n(n+1)$,$2n^2$,$n^2 + 1$,B,60,
3,"Suku ke-20 dari barisan aritmatika $3, 8, 13, 18, \dots$ adalah ...",$93$,$98$,$100$,$103$,B,60,
4,"Pada pola bilangan segitiga Pascal, jumlah bilangan pada baris ke-5 adalah ...",$8$,$16$,$32$,$64$,B,60,
5,"Diketahui barisan geometri $2, 4, 8, 16, \dots$. Suku ke-8 adalah ...",$128$,$256$,$64$,$512$,B,60,
6,Angka satuan pada bilangan $3^{100}$ adalah ...,$1$,$3$,$7$,$9$,A,60,
7,Barisan bilangan Fibonacci yang benar adalah ...,"$1, 2, 3, 4, 5$","$1, 1, 2, 3, 5$","$1, 3, 6, 10$","$2, 4, 6, 8$",B,60,
8,Banyaknya lingkaran pada pola ke-10 jika pola ke-$n$ dirumuskan $U_n = n^2 + n$ adalah ...,$90$,$100$,$110$,$120$,C,60,
9,"Titik $A(-4, 5)$ berada pada kuadran ...",I,II,III,IV,B,60,
10,Titik yang berjarak 3 satuan dari sumbu-$X$ dan 4 satuan dari sumbu-$Y$ adalah ...,"$(3, 4)$","$(4, 3)$","$(3, 0)$","$(0, 4)$",B,60,
11,"Jarak titik $P(-5, 12)$ terhadap titik asal $O(0,0)$ adalah ...",$7$ satuan,$12$ satuan,$13$ satuan,$17$ satuan,C,60,
12,"Garis yang melalui titik $A(2, 5)$ dan $B(2, -3)$ adalah garis yang ...",Sejajar sumbu-$X$,Sejajar sumbu-$Y$,Miring ke kanan,Miring ke kiri,B,60,
13,"Jika titik $K(2, 1)$, $L(8, 1)$, $M(8, 7)$, dan $N(2, 7)$ dihubungkan, bangun yang terbentuk adalah ...",Persegi,Persegi Panjang,Trapesium,Jajar Genjang,A,60,
14,Koordinat titik potong garis $y = 2x - 6$ dengan sumbu-$X$ adalah ...,"$(0, -6)$","$(-3, 0)$","$(3, 0)$","$(6, 0)$",C,60,
15,"Posisi titik $R(-2, -6)$ terhadap titik acuan $Q(1, -2)$ adalah ...","$(-3, -4)$","$(3, 4)$","$(-1, -8)$","$(1, 8)$",A,60,
16,Titik yang terletak tepat pada sumbu-$Y$ memiliki ciri ...,Absisnya 0,Ordinatnya 0,Absis = Ordinat,Absis positif,A,60,
17,Kumpulan berikut yang merupakan himpunan adalah ...,Kumpulan lukisan indah,Kumpulan hewan berkaki empat,Kumpulan siswa pandai,Kumpulan makanan enak,B,60,
18,Diketahui $A = {x,"1 < x < 10, x \in \text{bilangan prima}}$. Anggota $A$ adalah ...","$\{2, 3, 5, 7\}$","$\{3, 5, 7, 9\}$","$\{3, 5, 7\}$",B,60,
19,"Jika $P = \{a, b, c\}$ dan $Q = \{b, c, d\}$, maka $P \cup Q$ adalah ...","$\{b, c\}$","$\{a, d\}$","$\{a, b, c, d\}$",$\{ \}$,C,60,
20,"Jika $n(A) = 5$, maka banyaknya himpunan bagian dari $A$ adalah ...",$10$,$25$,$32$,$5$,C,60,
21,"Diketahui $S = \{1, 2, 3, \dots, 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{4, 5, 6\}$. Komplemen dari $(A \cap B)$ adalah ...",$\{4\}$,"$\{1, 2, 3, 5, 6, \dots, 10\}$","$\{1, 2, 3\}$","$\{5, 6\}$",B,60,
22,"Dari 40 siswa, 20 suka Matematika, 25 suka IPA, dan 10 suka keduanya. Banyak siswa yang tidak suka keduanya adalah ...",$5$ orang,$10$ orang,$15$ orang,$20$ orang,A,60,
23,"Himpunan $K = \{h, u, r, u, f\}$. Banyak anggota himpunan $K$ atau $n(K)$ adalah ...",$5$,$4$,$3$,$2$,B,60,
24,$A - B$ diartikan sebagai ...,Anggota $A$ yang juga anggota $B$,Anggota $A$ yang bukan anggota $B$,Anggota $S$ yang bukan anggota $A$,Gabungan $A$ dan $B$,B,60,
25,Relasi dari himpunan $A$ ke $B$ disebut fungsi jika ...,Setiap anggota $A$ punya pasangan di $B$,Setiap anggota $B$ punya pasangan di $A$,Setiap anggota $A$ punya tepat satu pasangan di $B$,Setiap anggota $A$ boleh punya 2 pasangan,C,60,
26,"Domain dari diagram panah $\{(1,a), (2,b), (3,a)\}$ adalah ...","$\{a, b\}$","$\{1, 2, 3\}$","$\{1, 2, 3, a, b\}$",$\{a\}$,B,60,
27,Diketahui fungsi $f(x) = 3x - 2$. Nilai dari $f(5)$ adalah ...,$13$,$15$,$17$,$-17$,A,60,
28,"Jika $f(x) = -2x + 5$ dan $f(k) = -3$, maka nilai $k$ adalah ...",$1$,$2$,$3$,$4$,D,60,
29,Himpunan pasangan berurutan berikut yang merupakan fungsi adalah ...,"$\{(1, a), (1, b), (2, c)\}$","$\{(1, a), (2, a), (3, a)\}$","$\{(1, a), (2, b), (2, c)\}$","$\{(a, 1), (b, 1), (a, 2)\}$",B,60,
30,"Banyaknya pemetaan yang mungkin dari $A=\{1, 2\}$ ke $B=\{a, b, c\}$ adalah ...",$6$,$8$,$9$,$5$,C,60,
31,"Range dari fungsi $f(x) = x^2 + 1$ untuk domain $\{0, 1, 2\}$ adalah ...","$\{1, 2, 3\}$","$\{0, 1, 4\}$","$\{1, 2, 5\}$","$\{1, 3, 5\}$",C,60,
32,"Diketahui rumus fungsi $f(x) = ax + b$. Jika $f(2) = 5$ dan $f(-1) = -4$, nilai $a$ dan $b$ adalah ...","$a=3, b=1$","$a=3, b=-1$","$a=2, b=1$","$a=-3, b=-1$",B,60,
33,Syarat korespondensi satu-satu antara himpunan $A$ dan $B$ adalah ...,$n(A) < n(B)$,$n(A) > n(B)$,$n(A) = n(B)$,$A \subset B$,C,60,
34,"Grafik fungsi $f(x) = 2x$ akan melalui titik pusat $(0,0)$ dan titik ...","$(1, 1)$","$(1, 2)$","$(2, 1)$","$(2, 2)$",B,60,
35,"Relasi ""Kuadrat dari"" ditunjukkan oleh pasangan berurutan ...","$\{(1, 1), (2, 4), (3, 9)\}$","$\{(1, 1), (4, 2), (9, 3)\}$","$\{(1, 2), (2, 4), (3, 6)\}$","$\{(1, 1), (2, 2), (3, 3)\}$",B,60,
36,Daerah kawan dalam istilah fungsi disebut ...,Domain,Kodomain,Range,Relasi,B,60,
37,Diketahui $n(P)=3$ dan $n(Q)=3$. Banyak korespondensi satu-satu yang mungkin adalah ...,$3$,$6$,$9$,$27$,B,60,
38,"Pada fungsi $f: x \to 3x - 1$, bayangan dari $-2$ adalah ...",$-7$,$-5$,$5$,$7$,A,60,
39,Titik potong grafik fungsi $f(x) = 4x - 8$ dengan sumbu-$Y$ adalah ...,"$(0, 4)$","$(0, 8)$","$(0, -8)$","$(2, 0)$",C,60,
40,Jika $A = {x,"0 < x < 5, x \in \text{ganjil}}$ dan $B = \{vokal\}$, banyaknya pemetaan dari $A$ ke $B$ adalah ...",$125$,$32$,$25$,B,60,
