NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Pancasila dijadikan sebagai dasar penyelenggaraan bernegara. Hal ini menunjukkan kedudukan Pancasila sebagai...,Pandangan hidup bangsa,Dasar Negara,Jiwa bangsa,Perjanjian luhur,B,60,
2,Pancasila sebagai pandangan hidup bangsa sering disebut dengan istilah...,Way of life,Ideologi,Grundnorm,Staatsfundamentalnorm,A,60,
3,Semua peraturan perundang-undangan yang berlaku di Indonesia tidak boleh bertentangan dengan Pancasila. Hal ini menegaskan posisi Pancasila sebagai...,Sumber dari segala sumber hukum,Hukum dasar tertulis,Konstitusi negara,Hukum tidak tertulis,A,60,
4,Fungsi Pancasila sebagai kepribadian bangsa Indonesia artinya...,Pancasila lahir bersamaan dengan lahirnya bangsa Indonesia,Pancasila menjadi ciri khas yang membedakan bangsa Indonesia dengan bangsa lain,Pancasila merupakan perjanjian luhur para pendiri bangsa,Pancasila adalah tujuan yang ingin dicapai bangsa,B,60,
5,Pancasila sebagai cita-cita dan tujuan bangsa Indonesia termuat dalam Pembukaan UUD 1945 alinea...,Pertama,Kedua,Ketiga,Keempat,D,60,
6,Manfaat Pancasila sebagai pandangan hidup bangsa adalah...,Menjadikan bangsa Indonesia ditakuti dunia,Sebagai petunjuk arah dalam kehidupan berbangsa dan bernegara,Untuk membatasi kebebasan warga negara,Agar negara lain mau membantu Indonesia,B,60,
7,Salah satu nilai yang terkandung dalam sila kelima Pancasila adalah...,Menghormati hak orang lain,Rela berkorban untuk negara,Percaya kepada Tuhan YME,Musyawarah mufakat,A,60,
8,Pancasila bersifat tetap dan tidak dapat diubah karena mengubah Pancasila berarti...,Mengubah pemerintahan,Membubarkan Negara Kesatuan Republik Indonesia,Mengganti presiden,Mengubah UUD 1945,B,60,
9,Sikap positif terhadap Pancasila dalam kehidupan berbangsa dan bernegara adalah...,Menghafal butir-butir Pancasila,Memasang lambang Garuda di rumah,Melaksanakan nilai-nilai Pancasila dalam kehidupan sehari-hari,Menjadikan Pancasila sebagai wacana politik,C,60,
10,Istilah Pancasila sudah dikenal sejak zaman Majapahit dalam buku Negara Kertagama karangan...,Mpu Tantular,Mpu Prapanca,Mpu Gandring,Mpu Sedah,B,60,
11,"Pancasila berfungsi sebagai perjanjian luhur, artinya...",Disepakati oleh seluruh rakyat melalui para pendiri negara,Merupakan warisan nenek moyang,Dibuat oleh presiden pertama,Hanya berlaku untuk pejabat negara,A,60,
12,Membina kerukunan hidup di antara sesama umat beragama merupakan pengamalan Pancasila sila...,Ketuhanan Yang Maha Esa,Kemanusiaan yang adil dan beradab,Persatuan Indonesia,Keadilan sosial bagi seluruh rakyat Indonesia,A,60,
13,Menempatkan kepentingan bangsa dan negara di atas kepentingan pribadi dan golongan adalah wujud pengamalan sila...,Pertama,Kedua,Ketiga,Keempat,C,60,
14,Kekuasaan tertinggi dalam suatu negara disebut...,Kewibawaan,Kekuasaan,Kedaulatan,Pemerintahan,C,60,
15,Indonesia menganut teori kedaulatan...,Tuhan dan Raja,Raja dan Negara,Hukum dan Rakyat,Negara dan Hukum,C,60,
16,Sifat kedaulatan yang artinya kekuasaan itu tetap ada sepanjang negara itu berdiri adalah...,Asli,Permanen,Tunggal,Tidak terbatas,B,60,
17,Kedaulatan ke dalam artinya...,Negara berhak mengatur urusan rumah tangganya sendiri tanpa campur tangan negara lain,Negara bekerja sama dengan negara lain,Negara tunduk pada hukum internasional,Negara berhak menyatakan perang,A,60,
18,"Berdasarkan UUD 1945 Pasal 1 Ayat (2), kedaulatan berada di tangan rakyat dan dilaksanakan menurut...",Kehendak Presiden,Undang-Undang Dasar,Kehendak MPR,Peraturan Pemerintah,B,60,
19,"Bentuk negara Indonesia adalah Kesatuan, sedangkan bentuk pemerintahannya adalah...",Monarki,Republik,Serikat,Parlementer,B,60,
20,Teori kedaulatan yang menyatakan bahwa kekuasaan tertinggi berasal dari Tuhan disebut kedaulatan...,Raja,Negara,Tuhan,Hukum,C,60,
21,Pelaksanaan kedaulatan rakyat di Indonesia salah satunya diwujudkan melalui kegiatan...,Sensus penduduk,Pemilihan Umum (Pemilu),Membayar pajak,Upacara bendera,B,60,
22,Lembaga negara yang merupakan representasi dari kedaulatan rakyat dalam menyusun undang-undang adalah...,MA,MK,DPR,BPK,C,60,
23,Prinsip kedaulatan rakyat mengandung makna bahwa...,Rakyat adalah objek pemerintahan,"Pemerintahan dari rakyat, oleh rakyat, dan untuk rakyat",Rakyat harus tunduk mutlak pada penguasa,Penguasa memiliki kekuasaan tak terbatas,B,60,
24,"Sifat kedaulatan ""Asli"" berarti...",Kekuasaan itu tidak berasal dari kekuasaan lain yang lebih tinggi,Kekuasaan itu satu-satunya dalam negara,Kekuasaan itu tidak dibatasi oleh apapun,Kekuasaan itu tetap ada selamanya,A,60,
25,"Tokoh yang membagi kekuasaan menjadi Legislatif, Eksekutif, dan Yudikatif (Trias Politica) adalah...",John Locke,Montesquieu,J.J. Rousseau,Machiavelli,B,60,
26,Kekuasaan untuk melaksanakan undang-undang dan roda pemerintahan disebut kekuasaan...,Legislatif,Yudikatif,Eksekutif,Konstitutif,C,60,
27,"Menurut UUD 1945, sistem pemerintahan negara Indonesia adalah...",Parlementer,Presidensial,Monarki Konstitusional,Liberal,B,60,
28,Pemegang kekuasaan membentuk Undang-Undang (Legislatif) di Indonesia adalah...,Presiden,DPR,MA,MK,B,60,
29,Lembaga yang berwenang melantik Presiden dan Wakil Presiden adalah...,DPR,MPR,Mahkamah Agung,Mahkamah Konstitusi,B,60,
30,Presiden dalam menjalankan tugasnya dibantu oleh...,DPR,Menteri-menteri negara,Gubernur,Ketua MPR,B,60,
31,Lembaga yang memiliki kekuasaan kehakiman untuk menegakkan hukum dan keadilan adalah...,DPR dan MPR,BPK dan KY,MA dan MK,Presiden dan Menteri,C,60,
32,Tugas Badan Pemeriksa Keuangan (BPK) adalah...,Membuat undang-undang,Mengadili presiden,Memeriksa pengelolaan dan tanggung jawab keuangan negara,Mengangkat menteri,C,60,
33,Mahkamah Konstitusi (MK) berwenang untuk...,Menguji undang-undang terhadap UUD 1945,Mengadili kasus pidana umum,Memecat menteri,Mengawasi kinerja DPR,A,60,
34,Anggota DPD (Dewan Perwakilan Daerah) dipilih melalui...,Pemilihan oleh DPR,Pemilihan Umum,Penunjukan Presiden,Sidang MPR,B,60,
35,Hak DPR untuk meminta keterangan kepada pemerintah mengenai kebijakan pemerintah yang penting dan strategis disebut hak...,Angket,Interpelasi,Menyatakan pendapat,Imunitas,B,60,
36,Presiden memegang jabatan selama lima tahun dan sesudahnya dapat dipilih kembali dalam jabatan yang sama hanya untuk...,Satu kali masa jabatan,Dua kali masa jabatan,Tiga kali masa jabatan,Seumur hidup,A,60,
37,Lembaga yang berwenang mengusulkan pengangkatan hakim agung adalah...,Mahkamah Konstitusi,Komisi Yudisial,DPR,Presiden,B,60,
38,Kekuasaan Yudikatif sering juga disebut sebagai lembaga...,Pembuat undang-undang,Pelaksana undang-undang,Peradilan,Pemeriksaan keuangan,C,60,
39,"Salah satu wewenang Presiden sebagai kepala negara adalah memberikan pengampunan berupa perubahan, peringanan, pengurangan, atau penghapusan pelaksanaan pidana kepada terpidana yang disebut...",Amnesti,Abolisi,Rehabilitasi,Grasi,D,60,
40,"Dalam sistem pemerintahan presidensial, menteri-menteri bertanggung jawab kepada...",DPR,MPR,Rakyat,Presiden,D,60,
